Company,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rebates,True Outstanding Loan Value,True Payment Status
ABF,DSB0439-002,2023-06-22,12.17,420,USD,379.69,22.68,2.22,,2.95,0.29,0.0,0,On Time
ABF,DSB2196-002,2024-12-11,0,994.47,USD,845.43,125.3,6.59,,16.29,0.86,0.0,656.57,Late
ABF,DSB2199-001,2024-09-17,199.07,"1,821.01",USD,"1,532.86",65.56,13.27,,8.52,1.73,0.0,0,Prepayment
ABF,DSB0375-001,2023-05-12,167.26,"1,530",USD,"1,295.46",55.08,4.46,,7.16,0.58,0.0,0,On Time
ABF,DSB2930-003,2025-06-20,0,83.73,USD,74.75,6.03,1.92,,0.78,0.25,0.0,494.28,Prepayment
ABF,DSB1570-008,2024-04-04,91.82,840,USD,710.65,30.24,2.97,,3.93,0.39,0.0,0,Prepayment
ABF,DSB0429-001,2023-06-21,20.61,"2,147",USD,"1,917.3",171.76,13.27,,22.33,1.73,0.0,0,Prepayment
ABF,DSB2795-001,2025-05-12,7.3,834.95,USD,699.71,104.37,8.85,,13.57,1.15,0.0,0,Late
ABF,DSB1237-002,2023-12-12,68.18,560,USD,470.61,14,4.77,,1.82,0.62,0.0,0,Prepayment
ABF,DSB2162-001,2024-11-05,14.35,996.8,USD,842.6,119.62,4.14,,15.55,0.54,0.0,0,Late
ABF,DSB0338-001,2023-05-26,81.21,912.66,USD,770.6,49.28,4.57,,6.41,0.59,0.0,0,On Time
ABF,DSB2829-042,2025-05-26,5.92,122.4,USD,103.57,11.02,0.41,,1.43,0.05,0.0,0,Late
ABF,DSB2628-001,2025-05-14,0,928.62,USD,823.69,92.86,0.0,,12.07,0,0.0,23.23,Late
ABF,DSB1733-001,2024-05-28,85.46,960.5,USD,812.07,51.87,3.86,,6.74,0.5,0.0,0,On Time
ABF,DSB0293-017,2023-05-05,3.52,39.55,USD,33.45,2.14,0.15,,0.28,0.02,0.0,0,On Time
ABF,DSB0279-001,2023-05-05,94.56,"2,936.64",USD,"2,627.98",176.2,13.27,,22.91,1.73,0.0,0,Prepayment
ABF,DSB2845-002,2025-06-25,16.11,"1,000",USD,825.69,140,0.0,,18.2,0,0.0,0,Late
ABF,DSB2625-001,2025-04-04,0,"3,485",USD,"3,113.68",313.65,14.96,,40.77,1.94,0.0,40.77,Prepayment
ABF,DSB1493-004,2024-03-08,32.07,306,USD,256.81,12.24,2.91,,1.59,0.38,0.0,0,Prepayment
ABF,DSB1422-004,2024-03-08,12.99,448,USD,405.92,24.19,1.55,,3.14,0.2,0.0,0,On Time
ABF,DSB1647-003,2024-05-14,9.86,143.79,USD,121.73,10.35,0.44,,1.35,0.06,0.0,0,On Time
ABF,DSB2268-002,2024-10-17,101.79,"1,088.64",USD,919.23,54.43,5.41,,7.08,0.7,0.0,0,Prepayment
ABF,DSB2525-020,2025-01-13,2.6,29.17,USD,24.7,1.58,0.08,,0.2,0.01,0.0,0,Late
ABF,DSB2525-006,2025-01-13,4.12,46.35,USD,39.25,2.5,0.13,,0.33,0.02,0.0,0,Late
ABF,DSB0048-001,2023-01-28,76.49,"1,066.16",USD,944.55,26.65,13.27,,3.47,1.73,0.0,0,Prepayment
ABF,DSB0124-001,2023-03-30,24.11,651.59,USD,543.85,65.16,8.85,,8.47,1.15,0.0,0,Prepayment
ABF,DSB0052-007,2023-02-20,44.21,496.89,USD,419.6,26.83,2.44,,3.49,0.32,0.0,0,On Time
ABF,DSB0015-012,2023-02-10,18.19,204.42,USD,172.91,11.04,0.75,,1.44,0.1,0.0,0,On Time
ABF,DSB1025-002,2023-10-30,27.4,500,USD,447.18,20,2.5,,2.6,0.32,0.0,0,Prepayment
ABF,DSB0790-009,2023-09-08,73.46,672,USD,568.92,24.19,2.02,,3.14,0.26,0.0,0,On Time
ABF,DSB1774-001,2024-05-13,0,"13,000",USD,"12,537.75",325,84.07,,42.25,10.93,0.0,"18,515.5",Prepayment
